"","country","in.training","own.initiative","future.practice","satisfied","satisfied.funding","hours.supervision"
"1","Albania",0,0.142857142857143,0.857142857142857,-1.83333333333333,-1.83333333333333,1
"3","Belgium",0.0769230769230769,0.230769230769231,0.884615384615385,0.8,-1.05,2.8695652173913
"4","Bosnia and Herzegovina",0,0.4,0.8,-0.75,-1.375,8
"5","Bulgaria",0,0.631578947368421,0.777777777777778,-0.647058823529412,-1.64705882352941,4.47058823529412
"7","Czech Republic",0.0172413793103448,0.53448275862069,0.890909090909091,0.34,-1.04,3.50980392156863
"8","Estonia",0.428571428571429,0.285714285714286,1,-0.166666666666667,-0.666666666666667,2.57142857142857
"9","Finland",0.0833333333333333,0.125,0.75,0.05,-1.1,2.65
"10","France ",0.140625,0.453125,0.901639344262295,-0.2,-0.68,3.09615384615385
"11","Germany",0.666666666666667,0.208333333333333,0.875,0.35,-0.2,5.6
"12","Greece",0.27906976744186,0.558139534883721,0.975,-0.333333333333333,-1.26666666666667,5.80645161290323
"13","Israel",0.657142857142857,0.285714285714286,0.914285714285714,0.62962962962963,-0.592592592592593,8.96551724137931
"14","Italy",0.207547169811321,0.30188679245283,0.884615384615385,-0.392156862745098,-1.33333333333333,4.31372549019608
"15","Latvia",0.3,0.4,0.9,-0.8,-1.2,5.1
"16","Lithuania",0,0.714285714285714,0.857142857142857,0.285714285714286,-1,3.14285714285714
"17","Malta",0.8,0,0.8,1,0.75,9
"18","Romania",0.10752688172043,0.473118279569892,0.921348314606742,-0.586666666666667,-1.58666666666667,4.06493506493506
"20","Slovenia",0.0166666666666667,0.3,0.909090909090909,-0.634615384615385,-1.65384615384615,1.79245283018868
"21","Spain",0.458333333333333,0.541666666666667,0.956521739130435,0.3,-0.6,7.19047619047619
"22","Switzerland",0.5,0,1,-0.5,-1.5,9
"23","United Kingdom",0,0,1,-1,-1,5
