"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"10","","0","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=23914&token=yyihrx7pbtbaev5","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"11","2013-09-03 16:03:25","7","en","","Bosnia and Herzegovina","Female","32","Year 2","Yes","No","Yes","No","No","","Group Psychotherapy,","Yes","Yes","No","Yes","Yes","Yes","No","","","Yes","Yes","Yes","Yes","No","","Cognitive Behavioural Therapy
Group Psychotherapy","5","5","5","5","0","","I pay","State / 3rd party pays","I pay","State / 3rd party pays","State / 3rd party pays","I pay","Yes","0","Disagree","Strongly Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"12","2013-09-04 09:41:59","7","en","","Bosnia and Herzegovina","Male","40","I have recently finished training (within last 5 years)","Yes","No","Yes","No","No","","Group analysis, emdr, hypnotherapy","Yes","Yes","Yes","No","No","Yes","No","emdr, hypnotherapy","","Yes","No","Yes","Yes","Yes","","Group analysis, emdr","0","3","0","0","0","","I pay","I pay","I pay","I pay","I pay","I pay","Yes","12","Strongly Disagree","Disagree","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Uncertain","Uncertain","Uncertain","Yes","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain",""
"13","2013-09-05 16:10:17","7","en","","Bosnia and Herzegovina","Female","36","I have recently finished training (within last 5 years)","Yes","No","Yes","No","No","","Transactional analysis, Personal Centered Psychotherapy, EMDR","Yes","Yes","Yes","No","Yes","No","No","","","Yes","No","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Counselling, Group Psychotherapy, Therapeutic Community","4","4","1","0","0","","I pay","I pay","I pay","I don't have it","State / 3rd party pays","I pay","Yes","0","Strongly Disagree","Neutral","Strongly Disagree","","Uncertain","","Yes","Yes","","","Yes","Uncertain","Uncertain","Uncertain","","No","No","","","Uncertain","Uncertain","No",""
"14","2013-09-09 21:42:42","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=23914&token=yyihrx7pbtbaev5","Bosnia and Herzegovina","Female","27","Year 1","No","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","No","No","No","No","No","","cognitive bihevioral therapy 
psychodinamic therapy
group therapy","0","0","0","0","0","","I pay","I pay","I pay","I pay","I pay","I pay","Yes","20","Neutral","Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"15","2013-09-10 09:27:24","7","en","","Bosnia and Herzegovina","Female","32","Year 1","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","Yes","Yes","Uncertain","Uncertain","No","","Family and Marital Therapy, Therapeutic Community, Group Psychotherapy,","0","3","9","10","5","","I pay","I pay","State / 3rd party pays","I don't have it","State / 3rd party pays","State / 3rd party pays","Yes","10","Disagree","Disagree","Disagree","","Yes","Uncertain","Uncertain","Yes","Uncertain","Uncertain","Yes","Yes","Uncertain","No","Uncertain","Uncertain","Uncertain","Uncertain","Yes","Uncertain","Uncertain","Yes",""
"16","2013-09-11 22:17:36","7","en","","Bosnia and Herzegovina","Male","32","Year 1","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","","Yes","Yes","Yes","Uncertain","Yes","","None at the moment...","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","10","Strongly Disagree","Strongly Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"17","2013-09-12 21:15:54","7","en","","Bosnia and Herzegovina","Female","40","I have recently finished training (within last 5 years)","Yes","No","Yes","No","No","","Psychodynamic Psychotherapy","Yes","Yes","Yes","No","No","No","No","","Psychotherapy is the only way to treat a person, not illness. It should be the core of psychiatric approach.","No","No","No","No","No","","""none""","5","0","0","0","0","","I pay","I pay","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","25","Agree","Agree","Neutral","","","","","","","","","","","","","","","","","","","","I live and work as psychiatrist in Bosnia and my psychotherapy training is in Croatia because there's no psychoanalytic therapy training or qualified IPA psychoanalyst in my country."
"18","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","2","en","","Bosnia and Herzegovina","Female","40","Year 5","No","No","No","Yes","No","","","No","No","No","Yes","Yes","Yes","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
