"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"10","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"11","2013-09-02 22:41:30","7","en","","Bulgaria","Male","37","Year 5","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","Yes","No","No","Mindfulness therapy","Some kind of psychotherapy must be incorporated in the programme of every trainee with respect of her/his  preferences.","Yes","No","No","No","Unsure","","Counselling,Group Psychotherapy,","0","0","0","0","0","","State / 3rd party pays","I pay","I pay","I don't have it","State / 3rd party pays","I don't have it","Yes","5","Strongly Disagree","Disagree","Strongly Disagree","","Uncertain","Uncertain","No","Yes","Yes","Yes","Yes","Uncertain","No","No","Uncertain","Yes","Yes","Uncertain","Uncertain","Yes","Uncertain","Yes",""
"12","","6","en","","Bulgaria","Female","34","Year 3","No","No","Yes","No","No","","Psychodrama","Yes","Yes","No","Yes","No","No","No","","","Yes","No","No","No","No","","None","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Agree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"13","2013-09-03 14:42:22","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=41615&token=w3rwctc2etx2bgz","Bulgaria","Female","38","Year 5","Yes","No","Yes","No","No","","cognitive behavioural therapy","Yes","Yes","No","No","No","Yes","No","","""The doctor as a drug""- each psychiatrist must have some psychotherapeutic abilities to be usefull for the patient and for him/herself.","No","No","No","No","No","","Cognitive bahavioural and positive","5","5","5","1","0","","I pay","I pay","I pay","State / 3rd party pays","I pay","I pay","Yes","13","Strongly Disagree","Disagree","Strongly Disagree","","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","Uncertain","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","Uncertain",""
"14","2013-09-03 21:43:29","7","en","","Bulgaria","Female","30","Year 2","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","No","No","No","No","No","","none","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Strongly Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"15","2013-09-04 11:50:38","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=41615&token=h7zf4d9hugsdd46","Bulgaria","Male","30","Year 4","No","No","No","Yes","No","","","No","No","No","Yes","No","No","No","Existential Psychotherapy","No comment.","No","No","No","No","No","","Cognitive-behavioural therapy, Art therapy, Positive psychotherapy, PSYCHODRAMA METHOD /we are best at this method in our institution, especially MONODRAMA, we have one of the best clinical psychologists trained particularly with great emphasis in this technique; we have developed our original theory and practice of applying PSYCHODRAMA in the psychotherapy of schizophrenic patients./] group psychotherapy, emphatic psychotherapy /also one of our original inventions/, you cannot imagine the astonishing results accomplished with this unconventional altruistic technique among all kinds of psychiatric patients ranging from anxiety and affective disorders through substance addictions and psychotic disorders, especially for florid mania syndromes.","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","No","0","Strongly Agree","Strongly Agree","Strongly Agree","","","","","","","","","","","","","","","","","","","",""
"16","2013-09-04 16:19:24","7","en","http://psychinfo.org/limesurvey/index.php","Bulgaria","Female","34","Year 3","No","No","Yes","No","No","","Psychodrama","Yes","Yes","No","Yes","No","No","No","","","Yes","No","No","No","No","","None","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Agree","Strongly Disagree","","Uncertain","Yes","Uncertain","Uncertain","Uncertain","Yes","Yes","Uncertain","Uncertain","Uncertain","No","Uncertain","No","No","Yes","Yes","No","Yes",""
"17","2013-09-05 15:17:35","7","en","","Bulgaria","Female","28","Year 3","No","No","Yes","No","No","","Group Psychotherapy","Yes","Yes","No","No","Yes","Yes","No","","I'd like to have at least enough education/training during my residence in psychiatry to obtain general knowledge of the different psychitherapeutic modalities and how they can help. Not every psychiatrist needs to be a psychotherapist, but at least every psychiatrist needs to have very good knowledge about the possibilities psychotherapy offers. All modalities should be introduced to psychiatric trainees so that everyone can decide which one they like.","Yes","No","No","No","No","","None","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Strongly Disagree","Neutral","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",""
"18","2013-09-06 18:52:53","7","en","","Bulgaria","Female","29","Year 3","Yes","No","Yes","No","No","","CBT","Yes","No","No","No","Yes","No","No","problen solvig psychotherapy","I think that would be useful, even necessary, no matter if person will practise it.","Uncertain","No","No","No","No","","psychoeducation, group therapy, art therpy","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Disagree","Disagree","Strongly Disagree","","No","Yes","No","Yes","Yes","Yes","Yes","Uncertain","No","No","No","No","No","No","No","No","No","No",""
"19","2013-09-09 10:38:07","7","en","","Bulgaria","Female","30","Year 4","Yes","No","No","Yes","No","","","Yes","No","No","No","Yes","No","No","","","Yes","No","No","No","No","","Family and group psychotherapy","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","10","Strongly Disagree","Agree","Strongly Disagree","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","","","",""
