"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"10","2013-09-02 11:36:57","7","en","","Finland","Male","32","Year 3","No","No","No","Yes","No","","","No","No","Yes","Yes","Yes","Yes","No","DKT, Trauma-, schema-, CAT","I don't think that psychotherapy-training would affect my professional identity. I dont honestly think I would ever participate in psyhotherapy training. However I do have a lot of interest in different psychotherapy types in general and I am eager to learn different techniques in psychotherapical manner.","Yes","No","No","Yes","No","","City of Rovaniemi Mental Health Clinic: Psycodynamic-, kognitive-, trauma-, solution-focused-psycghotherapies and family therapy.
Mental Hospital near Rovaniemi: Family therapy, cognitive- and psychodynamic-psychotherapy.","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","No","0","Strongly Disagree","Disagree","Strongly Disagree","","No","No","No","Uncertain","No","No","No","No","No","No","No","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","No",""
"11","2013-09-02 11:34:37","7","en","","Finland","Female","31","Year 6","No","No","No","No","Yes","","family therapy","Yes","Yes","No","Yes","Yes","No","No","trauma","I think psychotherapy is an essential part of working as a psychiatrist, as medicine can only do a part of the treatment. I felt ""handless"", out of tools, when I was working without any therapeutic tools. The selection of family therapy came as it was offered free by the university and I was accepted in the training. I thought it would be useful in any field of psychiatry. However, someday I'd like to get more training in one spesific modality. I'm most interested in cognitive ideas and ACT.","No","No","No","No","Other","I could practice psychotherapy already now as a resident if I wanted. It's not linket to being a specialist.","family therapy, psychodynamic / psychoanalytic, trauma, cognitive","0","0","8","0","2","supervision with other members of my ward, not directed at psychotherapy but working in general","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","0","Agree","Agree","Disagree","","","","","","","","","","","","","","","","","","","",""
"12","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","3","en","","Finland","Male","30","Year 2","Yes","No","Yes","No","No","","CBT","Yes","Yes","No","Yes","No","No","No","","integral element of any succesfull treatment.","Yes","No","No","Yes","No","","CBT, Psychodynamic, IPT,","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"14","2013-09-02 14:16:21","7","en","","Finland","Male","33","Year 4","No","Yes","No","No","No","","Integrative Psychotherapy (training combines mainly elements of psychodynamic therapy, CBT, IPT and family therapy)","Yes","Yes","No","Yes","No","Yes","No","","I am currently mostly interested in basic CBT and different CBT based variations like DBT, schema therapy, MBCT, MCT and ACT. I am also intrigued by psychodynamic approach and hypnotherapy, but hold some reservations against them.","Yes","Yes","Yes","Uncertain","Yes","","Supportive therapy. Most of the psychotherapy is conducted in the private sector and the hospital buys those services.","0","0","3","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","3","Strongly Agree","Disagree","Disagree","","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes",""
"15","2013-09-02 16:21:38","7","en","","Finland","Female","34","Year 6","Yes","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","Yes","No","","","Yes","No","No","No","No","","No psychotherapy at all, but measures taking influences from psychodynamics, CBT, dialectical behavior therapy, interpersonal, group, acceptance and commitment therapy and relaxation training and body-oriented therapy. Also systemic and MDFT influences.
Psychotherapy per se is not available in the university hospital; it's outsourced.","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","0","Strongly Disagree","Disagree","Strongly Disagree","","No","No","No","No","No","Yes","Uncertain","No","No","No","No","Uncertain","No","No","No","No","Uncertain","No",""
"16","2013-09-03 06:20:50","7","en","","Finland","Female","42","Year 5","Yes","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","I think it´s important to understand the dynamics of the psyche and undestand psychodynamic therapy, but I personally belive that CBT would be more usefull in practice.","Yes","No","No","No","No","","dynamic, cbt, ipt, cat, family","0","0","6","4","0","","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I don't have it","I don't have it","Yes","0","Disagree","Agree","Disagree","","Yes","Uncertain","Uncertain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No",""
"17","2013-09-03 06:43:01","7","en","","Finland","Female","36","Year 4","Yes","No","No","No","Yes","","Gestalt Therapy","Yes","Yes","No","Yes","Yes","Yes","No","gestalt therapy","My personal view is that psychotherapeutic skills support the psychiatrist in working with their client as an experiencing, three dimentional person. I've aexperienced often taht therapeutic communication supports the psychiatric rehabilitation process, supports the effect of medication the psychiatrist prescribes, alleviates suffering that can be treated without medicine, enhances the doctor-patient alliance and motivates the client to invest themselves in the rehabilitation process. My experienced outcome is more productive psychiatric work in terms of the clients well-being. 

An important part of applying psychotherapeutic skills is also to see their limitations and how they can be applied appropriately. This requires training in the subject. Also, writing statements as a psychiatrist to patients for them to get financial support from the society for psychotherapy requires understanding of psychotherapy from the psychotherapist. Increasingly psychiatrists in Finland are expected to be able to recommend a certain modality of therapy to their patints when writing these statements. This kind of recommendations require understanding, and hence training, in a wide range of psychotherapeutic modalities.","Yes","No","No","No","No","","Cognitive Behavioural Therapy, Dialectic Behavioural Therapy, Trauma Therapy","2","4","3","0","0","","State / 3rd party pays","State / 3rd party pays","I pay","I don't have it","State / 3rd party pays","I pay","Yes","5","Disagree","Disagree","Disagree","","Yes","No","Yes","No","No","No","Yes","Yes","No","","Uncertain","Yes","Uncertain","Uncertain","Uncertain","Yes","Yes","Uncertain",""
"18","2013-09-04 20:19:01","7","en","","Finland","Female","32","Year 5","No","No","No","No","No","I have completed a three-year training in psychotherapy within my training programme in psychiatry, but I am not a qualified psychotherapist.","","Yes","No","No","Yes","Yes","No","No","","","Yes","No","Yes","Yes","No","","Psychodynamic psychotherapy, CBT, cognitive-analytic therapy, dialectical behavioral therapy, different forms of group psychotherapy","2","0","7","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","0","Agree","Agree","Agree","","","","","","","","","","","","","","","","","","","",""
"19","2013-09-04 13:24:48","7","en","","Finland","Female","36","More than 8 years in training","No","No","No","Yes","No","","","No","No","No","No","No","No","Yes","","","Yes","No","No","No","Yes","","CBT, family, body-oriented (BBAT), counselling","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Agree","Agree","Neutral","","Yes","","","","","","","","","","","","","","","","","",""
