"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"10","2013-09-02 09:19:32","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=99526&token=dvbgftdb7zvnq5c","Greece","Male","40","Year 5","Yes","Yes","Yes","No","No","","family-systemic therapy, Cognitive Behavioural Therapy","Yes","Yes","No","No","Yes","Yes","No","","","Yes","No","No","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy","1","3","0","0","0","","I pay","I pay","I pay","I don't have it","I don't have it","I don't have it","Yes","20","Agree","Agree","Strongly Disagree","","Yes","","","","","","","","","No","","","","","","","","",""
"11","2013-09-02 10:19:36","7","en","","Greece","Male","34","Year 4","Yes","Yes","No","No","No","","Psychoanalytic Psychotherapy, Cognitive Behavioural Therapy, Family Therapy, Group Psychotherapy, Brief Intensive Psychodynamic Psychotherapy, Cognitive Analytic Therapy","Yes","Yes","Yes","Yes","No","Yes","No","","In my opinion every training programme in psychiatry should offer:
 - training in psychotherapy, various modalities
 - the possibility of personal therapy of the trainee","Yes","Uncertain","Yes","No","Unsure","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Counselling,Group Psychotherapy, Therapeutic Community, Brief Intensive Psychodynamic Psychotherapy, Cognitive Analytic Therapy","10","10","0","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","14","Strongly Agree","Disagree","Disagree","","No","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"12","","0","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=99526&token=dc3xvje5pf3stqz","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"14","2013-09-02 12:35:55","7","en","","Greece","Female","37","I have recently finished training (within last 5 years)","No","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","No","No","No","No","No","","Interpersonal Therapy, Counselling","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","20","Strongly Disagree","Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"15","","2","en","","Greece","Male","34","I have recently finished training (within last 5 years)","No","Yes","Yes","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","Yes","Yes","Yes","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"16","2013-09-02 14:19:27","7","en","","Greece","Male","35","I have recently finished training (within last 5 years)","No","No","Yes","No","No","","Cognitive Behavioural Therapy","Yes","Yes","No","Yes","Yes","No","No","","Psychiatry is not only medicine.

Psychotherapy modifies and improves brain function and by extension psychiatric disorders","Uncertain","Uncertain","Uncertain","Uncertain","Yes","","Family and Marital Therapy
Group Psychotherapy","0","7","0","0","0","","I pay","I don't have it","I pay","I don't have it","State / 3rd party pays","I don't have it","Yes","0","Agree","Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"17","2013-09-02 14:45:50","7","en","","Greece","Male","36","I have recently finished training (within last 5 years)","Yes","Yes","Yes","No","No","","Psychodynamic Psychitherapy","Yes","Yes","Yes","No","Yes","No","No","","There's no psychiatry, without psychotherapy in my opinion.","Yes","Yes","Yes","No","No","","Psychodynamic, CBT, Family therapy, counseling,","2","0","2","0","0","","State / 3rd party pays","I pay","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","40","Disagree","Agree","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Uncertain","No","Yes","Uncertain","No","No","Yes","Yes","Uncertain","No",""
"18","2013-09-02 15:58:34","7","en","","Greece","Female","31","Year 2","Yes","No","Yes","No","No","","psychodynamic psychotherapy","Yes","Yes","Yes","Yes","Yes","Yes","No","gestalt psychotherapy, existensial psychotherapy","","Yes","No","No","No","No","","psychodynamic psychotherapy, cognitive therapy, behavioral therapy, family therapy","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","60","Disagree","Neutral","Disagree","","Yes","Uncertain","Yes","Uncertain","Uncertain","Uncertain","","Uncertain","Uncertain","No","No","No","No","No","No","No","No","No",""
"19","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"21","2013-09-02 17:03:55","7","en","","Greece","Male","40","Year 3","No","No","Yes","No","No","","Family and Marital Therapy","Yes","Yes","No","Yes","Yes","No","No","","","No","No","No","No","Yes","","Psychodynamic Psychotherapy, Family Therapy, Behavioural Therapy, Therapeutic Community","0","0","0","0","0","","I pay","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Agree","Disagree","Disagree","","","","","","","","","","","","","","","","","","","",""
"22","2013-09-02 20:40:21","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=99526&token=bsqp6wukgyjq4ta","Greece","Female","33","Year 2","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","","Yes","Uncertain","Uncertain","No","Yes","","psychodynamic, cognitive therapy","1","4","0","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","5","Neutral","Disagree","Disagree","","No","No","Uncertain","No","No","No","Uncertain","No","No","Uncertain","Uncertain","Uncertain","No","No","No","Uncertain","No","Uncertain",""
"23","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"24","2013-09-02 21:20:41","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=99526&token=emybsp3t3juxwy5","Greece","Male","38","I have recently finished training (within last 5 years)","No","Yes","Yes","No","No","","Cognitive BehavioralTherapy","Yes","Yes","No","Yes","No","No","No","","","Yes","No","Yes","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy","4","8","0","0","0","","I pay","I pay","I pay","I don't have it","I pay","I don't have it","Yes","10","Strongly Agree","Disagree","Strongly Disagree","","Uncertain","Yes","Yes","","Uncertain","Uncertain","Yes","Yes","","No","Yes","Yes","","No","No","Yes","Yes","No",""
"25","","3","en","","Greece","Female","34","Year 5","Yes","No","Yes","No","No","","Psychodynamic Psychotherapy","Yes","Yes","Yes","No","No","No","No","","Very important qualification for psychiatrist","Yes","No","Yes","Yes","Unsure","","Psychodynamic, cognitive","7","5","5","5","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
