"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"10","","1","en","","Italy","Female","31","Year 5","No","No","Yes","No","No","","Cognitive Behavioural Therapy","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"11","2013-09-03 08:36:37","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=zc9ab2mp8kw3cw6","Italy","Female","31","Year 4","No","No","No","Yes","No","","","Yes","Yes","Yes","No","No","No","No","","","No","No","No","No","Yes","","Group Psychotherapy, Therapeutic Community","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Strongly Disagree","Agree","Strongly Disagree","","No","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Uncertain","Yes","Uncertain","Yes","No","Yes","Yes","Yes",""
"12","2013-09-03 10:06:45","7","en","","Italy","Female","32","Year 4","No","No","No","Yes","No","","","Yes","No","No","Yes","No","No","No","","","Yes","Uncertain","Yes","Yes","No","","CBT, PSYCHODYNAMIC PSYCHOTHERAPY","0","0","0","0","0","","I pay","I don't have it","I pay","I don't have it","I don't have it","I don't have it","Yes","20","Strongly Disagree","Strongly Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"13","2013-09-03 10:45:41","7","en","","Italy","Female","30","Year 4","No","No","No","Yes","No","","","Yes","No","No","Yes","No","No","No","","","Uncertain","No","Uncertain","No","Yes","","none","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","State / 3rd party pays","I don't have it","Yes","10","Strongly Disagree","Disagree","Disagree","","","","","","","","","","","","","","","","","","","",""
"14","2013-09-03 10:59:41","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=n9zwhax4x5pu72q","Italy","Female","30","Year 4","Yes","Yes","Yes","No","No","","Lacanian Pscychoanalisis","Yes","Yes","Yes","No","No","No","No","","","Yes","Uncertain","Yes","Yes","Yes","","Bief Psychodynamic Psychotherapy, Counseling, Group Psychoterapy","0","0","4","0","0","","I pay","I don't have it","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","30","Agree","Strongly Agree","Disagree","","Yes","Yes","Uncertain","Uncertain","Uncertain","Yes","Yes","Uncertain","No","Yes","Yes","No","No","No","Uncertain","Yes","No","No",""
"15","2013-09-03 11:01:56","7","en","","Italy","Female","29","Year 3","No","No","No","Yes","No","","","Yes","Yes","Yes","No","No","Yes","No","","","No","Yes","No","No","Yes","","none","0","0","4","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Strongly Disagree","Neutral","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"16","2013-09-03 19:06:06","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=6qfwx84mfcshty4","Italy","Female","28","Year 4","Yes","Yes","No","No","No","","I have some pts in treatment twice a week, psychodynamic psychotherapy","Yes","Yes","Yes","No","No","No","No","","I think that psychotherapy is a fundamental part of psychiatry because it allows a deeper understanding of our pts and their suffering. I think psychopharmachology helps a lot but it is just a symptomatic treatment which does not allow any psychic transformation, thus any real chance to heal or at least to reach a better inner adjustment.","Yes","Uncertain","Uncertain","No","Yes","",". psychodynamic psychotherapy; Group psychotherapy","0","1","2","0","0","","State / 3rd party pays","I pay","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","60","Disagree","Strongly Disagree","Strongly Disagree","","No","No","No","No","No","Uncertain","No","No","No","No","No","No","No","No","Uncertain","No","No","No",""
"17","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"18","2013-09-03 11:39:17","7","en","","Italy","Male","27","Year 3","No","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","No","No","No","No","Yes","","dialectical behavioral therapy, counselling","0","0","1","0","0","","I don't have it","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I don't have it","Yes","0","Disagree","Neutral","Disagree","","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"19","2013-09-03 14:53:02","7","en","","Italy","Female","27","Year 2","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","","No","Uncertain","Uncertain","No","Yes","","Counselling,Cognitive Behavioural Therapy, Interpersonal Therapy, Psychodynamic Psychotherapy","0","0","0","2","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Strongly Disagree","Neutral","Neutral","","","","","","","","","","","","","","","","","","","",""
