"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"10","2014-02-09 20:25:13","7","en","","Lithuania","Female","26","Year 4","Yes","No","Yes","No","No","","Jungian analytic basic psychotherapy learning skills","Yes","Yes","Yes","No","No","No","No","","There are serious lack of psychotherapy training in psychiatry curriculum. Although there are 4 months for it but it's like drop in the sea. We are only introduce with some basic statements about psychodynamic psychotherapy. If we want to learn psychotherapy we must to do it outside residency and pay for it by ourselves. I think that psychotherapy is extremely important in my clinical work in order to better understand and help patients.","Yes","No","No","No","No","","Mostly psychodynamic, maybe a bit CBT.","0","0","0","0","1","I have supervision once per month.","I pay","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","5","Strongly Disagree","Agree","Disagree","","Yes","Yes","Uncertain","Uncertain","Yes","Yes","Uncertain","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","I hope step by step we will improve psychotherapy learning situation in Europe!"
"11","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"12","2014-02-10 18:00:50","7","en","","Lithuania","Female","27","Year 2","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","group psychotherapy","Psychiatry and psychotherapy are quite close. There are many situations when psychoterapeutic knowledge and practice is very important for a psychiatrist.","Yes","No","No","No","No","","I cannot say precisely, because I don't know what psychotherapists work in my hospital.","4","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Neutral","Strongly Disagree","","Yes","Uncertain","No","No","Yes","Uncertain","Uncertain","Uncertain","Uncertain","Yes","Uncertain","Uncertain","Uncertain","Uncertain","No","No","No","No",""
"13","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"15","2014-03-04 20:34:11","7","en","","Lithuania","Female","29","Year 3","Yes","No","Yes","No","No","","Psychoanalitic psychotherapy","Yes","Yes","Yes","No","No","No","No","","","Yes","Uncertain","Yes","No","No","","Psychodonamic, group","3","3","4","1","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","20","Agree","Strongly Agree","Neutral","","","","","","","","","","","","","","","","","","","",""
"16","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"17","2014-03-04 16:49:58","7","en","","Lithuania","Female","30","I have recently finished training (within last 5 years)","Yes","No","Yes","No","No","","Psychoanalytic Psychotherapy","Yes","Yes","Yes","No","No","Yes","No","","","Yes","No","Yes","Yes","No","","Psychodynamic Psychotherapy, Group Psychotherapy","2","1","0","0","0","","I pay","I pay","I pay","I don't have it","State / 3rd party pays","I pay","Yes","33","Neutral","Disagree","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Uncertain","No","No","No","No","No","No","No",""
"18","2014-03-04 17:15:27","7","en","","Lithuania","Female","29","Year 4","No","No","Yes","No","No","","Cognitive Behavioral Therapy","Yes","Yes","No","Yes","No","No","No","","Psychotherapy helps to understand your patient much better: why this patient has these symptoms at this moment. It's not about reducing symptoms only, it's about teaching the patient new way (thinking or behaving) to cope the problems  himself. Sharing information with patient helps him understand himself better, and be more attentive to himself","Yes","No","No","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family Therapy, Counselling, Group Psychotherapy, Existential Psychotherapy, Playing therapy","0","2","0","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","5","Strongly Disagree","Agree","Neutral","","","","","","","","","","","","","","","","","","","","There was some confusion answering the question: Who pays for the following components of psychotherapy experience?
As in our trainig program - pays state
I am learning psychotherapy out of psyciatry training program - I must pay myself theortical, practical and supervisions (small, big group, Balint), also personal therapy if I would like to have. Patients are for free (they pay us as therapists)"
"19","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"21","2014-03-05 10:46:47","7","en","","Lithuania","Female","27","Year 3","No","No","No","Yes","No","","","Yes","No","Yes","No","No","No","No","","","Yes","Uncertain","Uncertain","Uncertain","No","","Psychodynamic Psychotherapy, Group Psychotherapy","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Disagree","Disagree","Neutral","","Yes","Yes","Uncertain","Uncertain","Yes","Yes","Yes","Uncertain","Yes","Uncertain","Uncertain","No","No","No","Uncertain","No","No","Uncertain",""
"22","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"23","2014-03-06 22:12:41","7","en","","Lithuania","Female","29","Year 3","No","No","Yes","No","No","","Psychodynamic Psychotherapy","Yes","Yes","Yes","No","Yes","No","No","","","Yes","Uncertain","Uncertain","No","No","","Counselling, Group Psychotherapy,Existential Psychotherapy, Cognitive Behavioural Therapy.","0","0","1","0","0","","I pay","I pay","I pay","I don't have it","State / 3rd party pays","I pay","Yes","0","Disagree","Neutral","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
