"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"10","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"11","2013-09-02 22:25:06","7","en","","Spain","Female","30","Year 6","Yes","No","Yes","No","No","","Family terapy","Yes","Yes","Yes","Yes","Yes","Yes","No","","","Yes","No","No","No","Yes","","Cognitive, sistemic, interpersonal therapy","2","0","2","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","10","Disagree","Agree","Agree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"12","2013-09-03 07:40:19","7","en","","Spain","Male","28","Year 4","No","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","Yes","No","Uncertain","No","No","","Cognitive Behavioural Therapy
Group Psychotherapy
Family and Marital Therapy","0","2","2","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","State / 3rd party pays","I don't have it","Yes","5","Strongly Disagree","Neutral","Disagree","","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Uncertain","Yes","No","No","No",""
"13","2013-09-03 11:03:12","7","en","","Spain","Female","36","Year 3","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","Yes","Yes","No","Interpersonal th, body-oriented psyth..","I will be trained in family/systemic therapy in my months of free training, during next year","No","Uncertain","No","No","Yes","","Cognitive Behavioural Therapy","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Neutral","Disagree","","Yes","Uncertain","Uncertain","No","Uncertain","No","Yes","Uncertain","Uncertain","Yes","Uncertain","Uncertain","Yes","Uncertain","No","Yes","Uncertain","Uncertain",""
"14","","2","en","","Spain","Female","34","Year 4","Yes","No","No","Yes","No","","","Yes","Yes","Yes","Yes","Yes","Yes","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"15","2013-09-03 18:18:07","7","en","","Spain","Male","29","Year 1","Yes","No","No","Yes","No","","","Yes","Yes","Yes","Yes","Yes","Yes","No","","","No","Uncertain","Yes","No","Yes","","Group, psychodynamic, community.","10","3","0","0","0","","I pay","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","10","Disagree","Neutral","Disagree","","No","No","No","Yes","Yes","Yes","Yes","No","Uncertain","Uncertain","Uncertain","Uncertain","Yes","Uncertain","Yes","Uncertain","No","Uncertain",""
"16","2013-09-04 14:35:34","7","en","","Spain","Female","29","Year 4","No","Yes","No","No","No","","Just a general overviweg of psicotherapy, nothing espcific","Yes","Yes","Yes","No","Yes","No","No","","","Yes","Yes","Yes","Yes","Unsure","","Psycodynamic","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","State / 3rd party pays","Yes","5","Disagree","Neutral","Neutral","","No","No","Yes","No","No","No","No","Uncertain","No","Yes","Yes","Uncertain","Uncertain","Uncertain","Yes","Yes","Yes","Yes",""
"17","","0","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=69772&token=htjnbvsg5fur5mg","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"18","","3","en","","Spain","Female","28","Year 5","No","No","No","Yes","No","","","Yes","Yes","No","No","Yes","No","No","","","Uncertain","Uncertain","Uncertain","Uncertain","No","","Psicodinamica","2","0","2","10","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"19","2013-09-09 19:40:57","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=69772&token=s4dvjjdx8hx98dp","Spain","Male","28","Year 4","Yes","Yes","Yes","No","No","","Integrative Psychotherapy","Yes","Yes","Yes","No","Yes","No","No","","Psycotherapy is the most valuable link between the therapist andthe patient.","Yes","Yes","Yes","No","No","","Psychodynamic, Cognitive behavioural","1","0","0","0","0","","I pay","I pay","I pay","I don't have it","State / 3rd party pays","State / 3rd party pays","Yes","15","Strongly Disagree","Disagree","Disagree","","","","","","","","","","","","","","","","","","","",""
"20","2013-09-09 21:43:09","7","en","","Spain","Male","26","Year 3","No","Yes","No","No","No","","Psychodynamic, Cognitive Behavioural and Family Therapy","Yes","Yes","Yes","Yes","Yes","No","No","","I think that even if you dont do specific psychoterapeutic work with patients, knowing techniques and concepts from some kinds of psychotherapy is necesary to understand and help your patients.","Yes","Uncertain","Yes","No","Unsure","","Psychodynamic, Cognitive Behavioural, Family Therapy, Interpersonal therapy, Group Therapy, Therapeutic community","4","0","0","0","0","","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I don't have it","Yes","10","Agree","Agree","Disagree","","","","","","","","","","","","","","","","","","","",""
"21","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"22","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"23","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","1","en","","Spain","Male","30","I have recently finished training (within last 5 years)","Yes","Yes","Yes","No","No","","family systemic therapy, psicodinamics and group therapy","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"25","2013-09-10 11:42:53","7","en","","Spain","Female","25","Year 2","No","Yes","Yes","No","No","","Family and Marital Therapy","Yes","Yes","No","Yes","Yes","No","No","","","Yes","Yes","Yes","No","Yes","","Group psychotherapy Cognitive Behavioural Therapy","7","9","6","0","0","","I pay","State / 3rd party pays","State / 3rd party pays","I don't have it","I pay","I don't have it","No","15","Agree","Agree","Agree","","","","","","","","","","","","","","","","","","","",""
"26","","4","en","","Spain","Male","30","I have recently finished training (within last 5 years)","Yes","Yes","Yes","No","No","","psychodinamic, systemic and group therapy","Yes","Yes","Yes","Yes","Yes","Yes","No","","I think that the main stone in psychiatry training in regatd psychotherapy should be psycoanalitic training. Over it, you can combine family therapy, gestalt Therapy, Group
Psychotherapy, Therapeutic Community, Body-oriented
Psychotherapy or whatever you feel that could work, depending on the patient and your enviroment.","No","Uncertain","Uncertain","No","Unsure","","psycodinamic, family therapy, Group
Psychotherapy","2","2","1","2","0","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"28","2013-09-11 11:22:53","7","en","","Spain","Female","31","Year 6","Yes","Yes","Yes","No","No","","Gestalt Therapy, Existential Psychotherapy, Psychodynamic Psychotherapy,Interpersonal Therapy,Group Psychotherapy.","Yes","Yes","No","No","Yes","Yes","No","gestalt","","Yes","Yes","No","Yes","Yes","","Interpersonal Therapy,Existential Psychotherapy","4","0","4","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","10","Agree","Agree","Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"29","2013-09-11 11:08:48","7","en","","Spain","Female","30","Year 4","No","No","Yes","No","No","","PSICODYNAMIC PSICHOTHERAPY, GROUP PSYCHOTHERAPY and CBT","Yes","Yes","Yes","Yes","No","Yes","No","","","Uncertain","Yes","Uncertain","No","Unsure","","INDIVIDUAL AND GROUP PSYCHOTHERAPY","1","1","0","0","0","","I don't have it","I pay","I pay","I don't have it","I don't have it","I pay","Yes","600","Strongly Disagree","Disagree","Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Uncertain","","No","","","","","",""
"30","2013-09-11 18:38:52","7","en","","Spain","Female","29","Year 4","Yes","No","Yes","No","No","","Group psychotherapy (Groupanalisis)","Yes","Yes","Yes","No","Yes","Yes","No","","","Yes","Uncertain","Uncertain","No","Yes","","Integrative psychotherapy.","3","3","0","3","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I pay","Yes","14","Disagree","Agree","Disagree","","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Yes","Uncertain","Uncertain","Yes","Uncertain","No","No","No","No","Yes","No","No",""
