"","q_0009_SQ2","q_0009_SQ3","q_0009_SQ4","q_0009_Ax","q_0009_other","q_0010"
"1","Not selected","Not selected","Not selected","Not selected",NA,NA
"2","Yes","Yes","Not selected","Not selected",NA,"I am very interested in psychotherapy and this is reason why i wont to be part of this training."
"3","Yes","Not selected","Not selected","Not selected",NA,"I think psycotherapy is very important in our practice because of,the crucial role and priceless help it has in certain conditions. Of course there is too much work to in Albania, and l would be very interested in cbt and any additional training possible."
"4","Yes","Not selected","Not selected","Not selected",NA,NA
"5","Yes","Not selected","Not selected","Not selected",NA,NA
"6","Yes","Yes","Not selected","Not selected",NA,"Interpersonal therapy"
"7","Yes","Not selected","Not selected","Not selected",NA,NA
"8","Not selected","Not selected","Not selected","Not selected",NA,NA
"9","Yes","Not selected","Not selected","Not selected",NA,"I feel psychotherapy is a very important part of a psychiatrist's job, complementary to pharmacotherapy and greatly rewarding. It makes dialogue with psychologists a lot easier as well."
"10","Yes","Yes","Not selected","Not selected",NA,"Psychiatry is a medical discipline and its priorities should lie within the biological field of healthcare. Nonetheless, it could be valuable to have knowledge in certain kinds of psychotherapy in the field of psychiatry. It's my opinion that psychotherapy should not be obligated or integrated into a standard psychiatric education. Psychiatrists should decide for themselves if they want to follow such an advanced psychotherapy education."
"11","Yes","Yes","Not selected","Not selected",NA,NA
"12","Not selected","Not selected","Not selected","Yes",NA,"I feel basic knowledge about psychotherapy and the different modalities of psychotherapy is required for any psychiatrist. On the other hand i don't think psychotherapy should be the 'core business' of any psychiatrist. Exceptions can be made for psychiatrists who specialize in psychotherapy and who for example work in the field of personality disorders.  In general a psychiatrist should work in collaboration with other team members who posses psychotherapeutical skills and should be able to refer to them. To be able to supervise a team where there are psychotherapists it is useful that a psychiatric trainee has some (limited) training in psychotherapy during training."
"13","Yes","Yes","Not selected","Not selected",NA,"As a trainee in child and youth adolescent psychiatry, I am convinced of the importance of systemic perspective, also bevause of the role that they play in the development of psychopathology.  CBT is more EBM and about action."
"14","Yes","Yes","Not selected","Not selected",NA,NA
"15","Yes","Yes","Yes","Not selected",NA,NA
"16","Not selected","Yes","Not selected","Not selected",NA,NA
"17","Not selected","Yes","Not selected","Not selected",NA,NA
"18","Yes","Yes","Not selected","Not selected",NA,"I'm convinced that psychotherapy is very important for a psychiatrist. It makes me a more complete doctor and learns me to think in a different way.   I'm interested in different types of psychotherapy"
"19","Yes","Yes","Not selected","Not selected","EMDR, treatment of dissociative disorders","training in psychotherapy should not be forced on people the way it is done in Belgium. The 'compulsory psychotherapy' results in people being 'brainwashed in a certain way and looking down on people who did not follow the particular training. Abuse of learned techniques, use of cult techniques and breaking of confidentiality are rampant..."
"20","Not selected","Not selected","Not selected","Not selected",NA,NA
"21","Not selected","Yes","Not selected","Not selected",NA,NA
"22","Not selected","Yes","Not selected","Not selected",NA,NA
"23","Yes","Yes","Not selected","Not selected","integrated psychotherapy",NA
"24","Yes","Yes","Not selected","Not selected",NA,NA
"25","Yes","Yes","Not selected","Not selected",NA,"The psychotherapy formation is not adapted to the context of psychiatrist. A course, focussing on the combination of psychiatry and psychotherapy would be interesting."
"26","Not selected","Yes","Not selected","Not selected",NA,NA
"27","Yes","Yes","Yes","Not selected",NA,"I think training in psychotherapy should be mandatory and included in psychiatric training. Costs for such a program are very high right now and it's time consuming and hence a difficult combi with psychiatric training."
"28","Not selected","Yes","Not selected","Not selected",NA,NA
"29","Yes","Yes","Yes","Not selected",NA,NA
"30","Yes","Not selected","Not selected","Not selected",NA,NA
"31","Yes","Not selected","Not selected","Not selected",NA,NA
"32","Yes","Yes","Not selected","Not selected",NA,NA
"33","Yes","Yes","Yes","Not selected",NA,NA
"34","Yes","Not selected","Not selected","Not selected",NA,NA
"35","Yes","Yes","Yes","Not selected",NA,NA
"36","Not selected","Not selected","Yes","Not selected","emdr, hypnotherapy",NA
"37","Not selected","Yes","Not selected","Not selected",NA,NA
"38","Yes","Yes","Not selected","Not selected",NA,NA
"39","Yes","Not selected","Not selected","Not selected",NA,NA
"40","Yes","Not selected","Not selected","Not selected",NA,NA
"41","Not selected","Not selected","Not selected","Not selected",NA,"Psychotherapy is the only way to treat a person, not illness. It should be the core of psychiatric approach."
"42","Not selected","Not selected","Not selected","Not selected",NA,NA
"43","Yes","Yes","Yes","Not selected",NA,NA
"44","Yes","Not selected","Not selected","Not selected",NA,"No comment"
"45","Not selected","Not selected","Not selected","Not selected",NA,NA
"46","Not selected","Not selected","Not selected","Not selected",NA,NA
"47","Not selected","Not selected","Not selected","Not selected",NA,NA
"48","Not selected","Not selected","Not selected","Not selected",NA,NA
"49","Yes","Yes","Not selected","Not selected",NA,"Cognitive Behavioral Pszchotherapy or Family /Systemic therapy are practise in more case"
"50","Yes","Yes","Not selected","Not selected","Mindfulness therapy","Some kind of psychotherapy must be incorporated in the programme of every trainee with respect of her/his  preferences."
"51","Yes","Not selected","Not selected","Not selected",NA,NA
"52","Not selected","Not selected","Yes","Not selected",NA,"""The doctor as a drug""- each psychiatrist must have some psychotherapeutic abilities to be usefull for the patient and for him/herself."
"53","Yes","Not selected","Not selected","Not selected",NA,NA
"54","Yes","Not selected","Not selected","Not selected","Existential Psychotherapy","No comment."
"55","Yes","Not selected","Not selected","Not selected",NA,NA
"56","Not selected","Yes","Yes","Not selected",NA,"I'd like to have at least enough education/training during my residence in psychiatry to obtain general knowledge of the different psychitherapeutic modalities and how they can help. Not every psychiatrist needs to be a psychotherapist, but at least every psychiatrist needs to have very good knowledge about the possibilities psychotherapy offers. All modalities should be introduced to psychiatric trainees so that everyone can decide which one they like."
"57","Not selected","Yes","Not selected","Not selected","problen solvig psychotherapy","I think that would be useful, even necessary, no matter if person will practise it."
"58","Not selected","Yes","Not selected","Not selected",NA,NA
"59","Not selected","Not selected","Not selected","Not selected",NA,NA
"60","Yes","Not selected","Yes","Not selected",NA,NA
"61","Yes","Yes","Yes","Not selected",NA,"Psychoterapeutic skills are important part of understanding the phenomenology of normality and abnormality in psychology and clinical psychiatry.Without this ability psychiatry is like every other medical specialty.It gives comfort ot knowing your patients,and knowing yourself in different clinical situations."
"62","Yes","Yes","Not selected","Not selected",NA,NA
"63","Yes","Yes","Not selected","Not selected",NA,"I think it is useful psychotherapy to be included in the speciality of psychiatry or at least to be optional."
"64","Yes","Not selected","Not selected","Not selected",NA,NA
"65","Yes","Not selected","Not selected","Not selected",NA,NA
"66","Yes","Yes","Yes","Not selected","Motivational Interviewing","I need supervision in counselling and interviewing patients as part of my professional work of psychiatrist and I need also personal psychotherapy"
"67","Yes","Yes","Not selected","Not selected",NA,NA
"68","Not selected","Not selected","Not selected","Not selected",NA,NA
"69","Yes","Not selected","Not selected","Not selected",NA,NA
"70","Yes","Not selected","Yes","Not selected",NA,NA
"71","Not selected","Yes","Not selected","Not selected",NA,NA
"72","Yes","Not selected","Not selected","Not selected",NA,NA
"73","Yes","Not selected","Not selected","Not selected",NA,NA
"74","Yes","Not selected","Not selected","Not selected",NA,NA
"75","Not selected","Not selected","Not selected","Yes",NA,NA
"76","Not selected","Yes","Not selected","Not selected",NA,NA
"77","Yes","Not selected","Yes","Not selected",NA,NA
"78","Not selected","Not selected","Not selected","Not selected","Existential Psychotherapy","I mean, that the psychotherapy training should be included in the specialization training in Psychiatry, it´s important to have self-experiences with psychotherapy to understand better the problems and needs of our patients and of course many of our patients are for example in crisis or have interpersonal conflicts and they needn´t sometimes any medication"
"79","Yes","Yes","Not selected","Not selected",NA,"Psychotherapy is important for clinical practice"
"80","Yes","Yes","Not selected","Not selected",NA,"I am very interested in psychoterapy, but unfortunately my employer prefers biological approach. I am going to do training in psychotherapy, because it will give more complex outlook."
"81","Yes","Yes","Not selected","Not selected",NA,NA
"82","Yes","Yes","Yes","Not selected",NA,NA
"83","Yes","Not selected","Yes","Not selected",NA,NA
"84","Not selected","Not selected","Not selected","Not selected",NA,NA
"85","Yes","Not selected","Not selected","Not selected",NA,NA
"86","Yes","Yes","Not selected","Not selected","Existential Psychotherapy","It is an inevitable part of our profession which is expected from the patient and we must strive not to loose our identity by letting psychotherapy dissolve from psychiatry."
"87","Yes","Not selected","Yes","Not selected",NA,NA
"88","Yes","Not selected","Yes","Not selected",NA,NA
"89","Yes","Yes","Not selected","Not selected",NA,NA
"90","Not selected","Not selected","Yes","Not selected",NA,NA
"91","Not selected","Not selected","Not selected","Not selected",NA,"At this point I am not really sure which path I will eventually take. Psychotherapy is one of the options, I have not started training yet though."
"92","Yes","Not selected","Not selected","Not selected",NA,NA
"93","Not selected","Yes","Not selected","Not selected",NA,NA
"94","Not selected","Not selected","Yes","Not selected",NA,"I think, that psychotherapy is essencial modality in treating psychiatric patients, wether neurotic disorders and relationship problems, or endogenous diseases. Even with biological theories of etiology the patients are living in society, families,relationships.. and psychoterapy e.g. supportive is very important for them."
"95","Yes","Not selected","Not selected","Not selected",NA,NA
"96","Yes","Yes","Yes","Not selected",NA,NA
"97","Yes","Yes","Not selected","Not selected",NA,NA
"98","Yes","Not selected","Yes","Not selected",NA,NA
"99","Not selected","Yes","Not selected","Not selected",NA,NA
"100","Not selected","Yes","Yes","Not selected",NA,NA
