"id","Completed","Last page seen","Start language","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"72","2012-05-02 08:37:30","7","en","Female","40","Year 4","Yes","No","Yes","No","No","","Transactional analysis","Yes","Yes","Yes","No","Yes","No","No","","","Yes","No","Yes","Yes","Yes","Psychodynamic psychotherapy, Cognitive behavioral psychotherapy","1","3","0","0","0","","I pay","I pay","I pay","I don't have it","It is FREE","I pay","Yes","10","Agree","Agree","Strongly Disagree","","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","","No","No",""
"73","2012-05-02 08:39:32","7","en","Female","33","I have recently finished training (within last 5 years)","Yes","No","Yes","No","No","","Psychodynamic Psychotherapy","Yes","Yes","Yes","No","No","No","No","","","No","No","No","No","No","psychodinamic psychotherapy - but only for few patients","1","0","0","0","0","","I pay","I pay","I don't have it","I don't have it","I don't have it","I pay","Yes","15","Strongly Disagree","Agree","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",""
"74","2012-05-02 09:02:02","7","en","Female","39","Year 5","Yes","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","Yes","No","","My opinion is that traning in at least one or two modalitis (individual+group) of psychotherapy should be included in Psychiatric speciality training and a minimal work in that field should be continued through all the working period. 
I just finished specialisation and I miss that part very much. I intend to work on it as soon as I can aford it. I think it is the right (probably the only)future of the feald of psychiatry.","Uncertain","Uncertain","No","No","No","group psychodynamic, CBT, family...Many diferent types.","0","0","1","0","0","","I pay","I pay","I pay","I don't have it","It is FREE","I pay","Yes","15","Strongly Disagree","Disagree","Strongly Disagree","","No","No","No","No","No","No","No","No","No","No","Uncertain","No","Uncertain","No","No","No","No","No",""
"75","2012-05-02 09:00:20","7","en","Female","35","Year 5","Yes","No","Yes","No","No","","I have finished general psychotherapy training and first stage of CBT","Yes","Yes","No","Yes","No","Yes","No","","I believe psychotherapy should be an integral part of psychiatry residency as it is very useful when workinh with patients. If one does not wish to practice it himself general knowledge of most used modalities is very helpfull when a patient needs/ wants to be directed to a psychoterapist.","No","No","No","No","No","psychoanalisis, CBT, group psychotherapy, family and marital therapy, counseling, therapeutic community,","0","0","0","0","0","","I pay","I don't have it","I don't have it","I don't have it","It is FREE","I pay","Yes","10","Strongly Disagree","Disagree","Strongly Disagree","","Yes","Uncertain","No","Uncertain","No","No","No","No","No","Yes","No","No","Uncertain","No","No","No","No","Uncertain",""
"76","2012-05-02 11:19:23","7","en","Female","43","I have recently finished training (within last 5 years)","Yes","No","No","No","No","i am undertaking training in psychotherapy after comleted specialisation of psychiatry","","Yes","Yes","Yes","No","No","Yes","No","","","No","No","No","No","No","group analitic therapy and analitic individual therapy","0","0","0","0","0","","I pay","I pay","I pay","I don't have it","I pay","I pay","Yes","25","Strongly Disagree","Disagree","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","","","","","","","","","i started with psychotherapy education as well as with self analysis and supervisions after psychiatry training, because the psychotherapeutic knowledge is highly needed in daily pratice. i pay all education by my own, because the clinic do not support psychotherapy. anyway this knowledge is crucial when you work with people. i strongly agree that psychotherapy education programm should be part od psychiatry training, but some parts should be paid by analysant as well (due to motovation)"
"77","2012-05-02 12:35:28","7","en","Male","33","Year 4","No","No","No","Yes","No","","","No","Yes","Yes","Yes","Yes","No","No","","","Yes","No","Yes","Uncertain","Unsure","Psychodynamic, cognitive-behavioral","0","0","0","0","0","","I pay","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","5","Strongly Disagree","Neutral","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"78","2012-05-02 12:54:01","7","en","Female","28","Year 1","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","I think Psychotherapy should be an important part of psychiatric training, and I am very disappointed that in our country psychotherapy is not supported by our healthcare system and as such also a part of our psychiatric training.","No","No","No","No","No","psychodynamic, cognitive behavioural therapy, group psychotherapy, therapeutic community","0","0","0","0","0","","I pay","I don't have it","I don't have it","I pay","I don't have it","I don't have it","Yes","0","Strongly Disagree","Strongly Disagree","Strongly Disagree","","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"79","2012-05-02 15:40:41","7","en","Female","29","Year 1","No","No","No","Yes","No","","","Yes","Yes","Yes","No","Yes","Yes","No","existential psychotherapy","I think every psychiatrist should at least go through personal psychotherapy if not psychotherapeutic training.","No","No","No","No","No","None. But some psychiatrists are trained psychotherapists and do psychotherapy on a individual basis, not as a par of hospital program.","0","0","0","0","0","","I pay","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","20","Strongly Disagree","Agree","Strongly Disagree","","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"80","2012-05-03 03:15:03","7","en","Female","36","More than 8 years in training","Yes","No","Yes","No","No","","systemic family therapy (Family and Marital Therapy)","Yes","Yes","Yes","Yes","Yes","Yes","No","","","Uncertain","No","Yes","No","No","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy, Counselling, Gestalt Therapy, Group Psychotherapy, Therapeutic Community","1","0","0","0","0","","I pay","It is FREE","I don't have it","I don't have it","It is FREE","I pay","Yes","15","Strongly Disagree","Disagree","Strongly Disagree","","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Uncertain","No","Uncertain","Yes","No","No","We would be very grateful if anyone could bring  our authorities to attention about the mandatoriness and public funding of the training in psychotherapy (for psychiatrists and child psychiatrists), since we are unsuccessfully trying to fight it for years."
"81","2012-05-03 16:03:52","7","en","Female","38","Year 4","No","No","Yes","No","No","","cognitive-behavioral therapy, psychodinamic psychotherapy","Yes","Yes","Yes","Yes","No","No","No","","","Yes","No","Yes","Yes","No","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Counselling, Gestalt Therapy, Group Psychotherapy,","2","0","0","0","0","","I pay","I pay","I don't have it","I don't have it","I don't have it","I pay","No","0","Strongly Disagree","Agree","Agree","","","","","","","","","","","","","","","","","","","",""
