"id","Completed","Last page seen","Start language","Token","Date last action","Date started","IP address","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"11","2013-09-02 22:19:30","7","en","","2013-09-02 22:19:30","2013-09-02 22:08:27","188.100.218.254","Germany","Female","30","Year 4","Yes","Yes","No","No","No","","Conselin, Group Psychotherapy","Yes","Yes","Yes","Yes","Yes","Yes","No","","","Yes","Yes","Yes","Yes","Yes","","analytic, behavioural, semi-analytic","2","2","4","3","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I pay","Yes","0","Neutral","Agree","Agree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Uncertain","Uncertain","great survey"
"12","2013-09-03 09:38:28","7","en","","2013-09-03 09:38:28","2013-09-03 09:26:07","194.149.241.3","Germany","Male","48","Year 4","No","No","No","No","Yes","","CBT; and before this case-reports (""Fallvorstellungen"")life with living in-patients with psychosomatic illness based on psychoanalytic concepts of underständing","Yes","Yes","Yes","Yes","No","No","No","","Psychodynamic Psychotherapy; outstanding way to cure patients, to heal them basically; but there some indications, where it will not work.","Yes","Yes","Uncertain","No","Yes","","CBT","3","3","0","3","1","supervision of team-working proceeds","State / 3rd party pays","I don't have it","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","3","Neutral","Disagree","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Uncertain","Uncertain","No","Uncertain","No","No","No","No","No","Uncertain",""
"13","","2","en","","2013-09-04 09:11:01","2013-09-04 09:04:33","194.149.241.3","Germany","Female","39","Year 3","No","Yes","No","No","No","","psychotherapy cases, supervised in cognitive behavioral therapy","Yes","Yes","No","Yes","No","Yes","No","Counselling","As a doctor the psychotherapy training in becoming a psychiatrist should get more importance. This means doctors should practise psychotherapy more an do less other things, especially documentation. This could be done by someone else.","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","6","en","","2013-09-04 16:54:12","2013-09-04 16:37:35","31.19.7.15","Germany","Female","53","Year 5","Yes","No","No","No","Yes","","Cognitive Behavioural Therapy","Yes","Yes","No","No","No","Yes","No","","I think that group psychotherapy is neccessary to see the interactions of any patient in the group, so you can see his problems as in his real life.","Yes","Yes","Yes","Yes","Yes","","cognitive behavioural therapy, interpersonal therapy, group psyhotherapy","1","1","0","1","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","5","Strongly Agree","Disagree","Disagree","","","","","","","","","","","","","","","","","","","",""
"15","","0","en","","2013-09-18 07:21:32","2013-09-18 07:21:32","194.149.241.3","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"16","2013-09-18 09:08:51","7","en","","2013-09-18 09:08:51","2013-09-18 09:02:41","137.248.254.180","Germany","Female","28","Year 3","No","Yes","No","No","No","","Cognitive Behavioural Therapy","Yes","Yes","No","Yes","No","No","No","","","Yes","Yes","Yes","No","Yes","","Cognitive Behavioural Therapy, Interpersonal Therapy, Group Psychotherapy","0","2","4","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","I pay","State / 3rd party pays","Yes","0","Agree","Strongly Agree","Agree","","","","","","","","","","","","","","","","","","","",""
"19","","2","en","","2013-09-18 17:31:52","2013-09-18 17:29:55","192.197.121.177","Germany","Female","28","Year 2","No","No","Yes","No","No","","Group Psychotherapy, DBT (dialectiv-behavioral therapy)","Yes","Yes","No","Yes","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"20","2013-09-22 04:27:17","7","en","","2013-09-22 04:27:17","2013-09-22 04:16:58","87.184.191.176","Germany","Female","28","Year 5","Yes","Yes","No","No","No","","Psychodynamic
and cognitive behavioural","Yes","Yes","Yes","Yes","No","No","No","","","Yes","No","Yes","Yes","Yes","","cognitive behavioural","0","2","0","3","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","4","Disagree","Agree","Disagree","","","","","","","","","","","No","No","Yes","No","No","Uncertain","Yes","Uncertain","No",""
"21","","0","en","","2013-12-01 11:19:38","2013-12-01 11:19:38","146.60.44.23","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"23","2013-12-03 14:59:01","7","en","","2013-12-03 14:59:01","2013-12-03 14:44:19","194.149.241.3","Germany","Male","35","Year 4","No","Yes","No","No","No","","cognitive behavioural psychotherapie, interpersonal therapy","Yes","Yes","Yes","Yes","No","No","No","interpersonal psychotherapy","","Yes","Uncertain","Yes","Yes","Yes","","cognitive behavioural therapy
interpersonal psychotherapy
group psychotherapy","2","1","1","3","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","1","Neutral","Agree","Agree","","","","","","","","","","","","","","","","","","","","I miss one-on-one psychotherapy in my education (me beeing the patient/subject of interest), I find the clinic should offer founding for that, as it is very expensive if paid out of the own pocket"
